Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-03-31,2015,3,31,Tuesday,20.0,20.0,20.0,0,20.0,0.0,20.0,20.0
2015-04-01,2015,4,1,Wednesday,26.84000015258789,25.489999771118164,26.149999618530273,23144200,26.149999618530273,0.30749998092651376,23.074999809265137,23.074999809265137
2015-04-02,2015,4,2,Thursday,27.270000457763672,25.829999923706055,26.5,5166100,26.5,0.013384336006709185,24.21666653951009,24.21666653951009
2015-04-06,2015,4,6,Monday,26.799999237060547,25.350000381469727,25.799999237060547,2090200,25.799999237060547,-0.026415123129790663,24.612499713897705,24.612499713897705
2015-04-07,2015,4,7,Tuesday,25.850000381469727,25.15999984741211,25.239999771118164,939400,25.239999771118164,-0.021705406298538565,24.737999725341798,24.737999725341798
2015-04-08,2015,4,8,Wednesday,25.479999542236328,25.0,25.149999618530273,921500,25.149999618530273,-0.0035657746990503947,24.806666374206543,24.806666374206543
2015-04-09,2015,4,9,Thursday,26.469999313354492,25.049999237060547,26.31999969482422,751600,26.31999969482422,0.04652087849066611,25.022856848580496,25.022856848580496
2015-04-10,2015,4,10,Friday,26.799999237060547,25.0,25.290000915527344,966300,25.290000915527344,-0.03913369267627398,25.056249856948853,25.056249856948853
2015-04-13,2015,4,13,Monday,25.59000015258789,25.1200008392334,25.3700008392334,347100,25.3700008392334,0.0031633025231303513,25.09111107720269,25.09111107720269
2015-04-14,2015,4,14,Tuesday,25.899999618530273,25.25,25.799999237060547,272200,25.799999237060547,0.016949088829440573,25.161999893188476,25.161999893188476
2015-04-15,2015,4,15,Wednesday,26.049999237060547,25.030000686645508,25.1200008392334,355300,25.1200008392334,-0.02635652782696063,25.15818179737438,25.15818179737438
2015-04-16,2015,4,16,Thursday,25.25,24.549999237060547,24.780000686645508,1111000,24.780000686645508,-0.013535037469300737,25.12666670481364,25.12666670481364
2015-04-17,2015,4,17,Friday,25.600000381469727,24.5,25.15999984741211,493400,25.15999984741211,0.015334913246043191,25.12923079270583,25.12923079270583
2015-04-20,2015,4,20,Monday,25.489999771118164,25.040000915527344,25.139999389648438,322500,25.139999389648438,-0.0007949307585440879,25.12999997820173,25.12999997820173
2015-04-21,2015,4,21,Tuesday,25.239999771118164,24.639999389648438,24.780000686645508,533200,24.780000686645508,-0.014319757825895674,25.471428598676408,25.10666669209798
2015-04-22,2015,4,22,Wednesday,24.8799991607666,24.729999542236328,24.770000457763672,190000,24.770000457763672,-0.0004035604763814593,25.372857230050222,25.085625052452087
2015-04-23,2015,4,23,Thursday,25.079999923706055,24.75,25.049999237060547,225800,25.049999237060547,0.011303947279868387,25.26928574698312,25.083529416252585
2015-04-24,2015,4,24,Friday,25.65999984741211,24.899999618530273,25.6299991607666,370100,25.6299991607666,0.023153690274288152,25.257142884390696,25.113888846503365
2015-04-27,2015,4,27,Monday,26.399999618530273,25.729999542236328,26.15999984741211,715600,26.15999984741211,0.020678919391336148,25.32285717555455,25.168947320235404
