Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-04-04,2014,4,4,Friday,40.0,40.8,34.0,34.0,10970100,34.0,0.0,34.0,34.0
2014-04-07,2014,4,7,Monday,33.98,35.87,33.06,34.8,1152200,34.8,0.023529389325310124,34.4,34.4
2014-04-08,2014,4,8,Tuesday,35.25,36.62,34.6,35.99,510700,35.99,0.034195473203888715,34.93,34.93
2014-04-09,2014,4,9,Wednesday,36.1,36.5,34.61,35.31,455300,35.31,-0.018894144858643713,35.025,35.025
2014-04-10,2014,4,10,Thursday,35.37,35.37,30.82,30.91,754100,30.91,-0.12461063026769326,34.202,34.202
2014-04-11,2014,4,11,Friday,30.78,34.47,29.86,33.64,1185600,33.64,0.08832091736373449,34.10833333333333,34.10833333333333
2014-04-14,2014,4,14,Monday,34.08,36.56,32.88,35.16,856200,35.16,0.04518431882705087,34.25857142857142,34.25857142857142
2014-04-15,2014,4,15,Tuesday,35.58,35.58,31.34,35.0,729600,35.0,-0.004550621390969289,34.35124999999999,34.35124999999999
2014-04-16,2014,4,16,Wednesday,33.9,37.7,33.62,37.52,869600,37.52,0.07200001307896198,34.703333333333326,34.703333333333326
2014-04-17,2014,4,17,Thursday,37.3,37.75,35.23,35.95,560300,35.95,-0.041844341035964794,34.82799999999999,34.82799999999999
2014-04-21,2014,4,21,Monday,35.85,36.12,32.55,33.19,559600,33.19,-0.07677335403774821,34.6790909090909,34.6790909090909
2014-04-22,2014,4,22,Tuesday,33.6,33.95,31.95,32.86,551600,32.86,-0.009942694486641646,34.527499999999996,34.527499999999996
2014-04-23,2014,4,23,Wednesday,32.78,34.03,32.17,32.39,398500,32.39,-0.014303140960839289,34.36307692307692,34.36307692307692
2014-04-24,2014,4,24,Thursday,33.09,33.18,32.13,32.38,210400,32.38,-0.00030868544987994184,34.22142857142857,34.22142857142857
2014-04-25,2014,4,25,Friday,31.62,33.12,30.82,31.26,806200,31.26,-0.03458927740234907,34.02571428571428,34.023999999999994
2014-04-28,2014,4,28,Monday,31.94,33.2,30.3,32.64,674400,32.64,0.04414584615042938,33.87142857142856,33.93749999999999
2014-04-29,2014,4,29,Tuesday,32.74,33.04,30.83,32.79,899200,32.79,0.004595635069971182,33.64285714285713,33.86999999999999
2014-04-30,2014,4,30,Wednesday,32.7,32.7,30.67,30.95,408100,30.95,-0.056114672193149584,33.33142857142856,33.70777777777777
2014-05-01,2014,5,1,Thursday,31.0,32.89,30.72,31.01,432700,31.01,0.0019385933590743143,33.33857142857142,33.565789473684205
2014-05-02,2014,5,2,Friday,31.27,31.89,30.73,31.05,401500,31.05,0.0012898744883418356,33.15357142857142,33.43999999999999
2014-05-05,2014,5,5,Monday,30.69,32.0,30.35,31.63,277500,31.63,0.018679547116180917,32.90142857142856,33.35380952380952
2014-05-06,2014,5,6,Tuesday,32.4,32.72,31.52,31.98,320700,31.98,0.011065456552520558,32.685714285714276,33.29136363636363
2014-05-07,2014,5,7,Wednesday,32.18,32.69,30.0,30.69,900400,30.69,-0.04033768063301546,32.19785714285714,33.178260869565214
2014-05-08,2014,5,8,Thursday,30.6,31.5,30.36,31.38,390600,31.38,0.02248284831221392,31.871428571428567,33.10333333333333
2014-05-09,2014,5,9,Friday,32.64,35.0,30.36,31.22,1362500,31.22,-0.005098784311382443,31.73071428571428,33.028
2014-05-12,2014,5,12,Monday,31.48,32.0,30.56,30.93,442700,30.93,-0.009288885796184587,31.592857142857138,32.94730769230769
2014-05-13,2014,5,13,Tuesday,31.0,31.39,30.68,31.04,176200,31.04,0.003556437415655589,31.49642857142857,32.87666666666666
2014-05-14,2014,5,14,Wednesday,30.9,31.41,30.55,31.1,126100,31.1,0.001932972428243973,31.405,32.81321428571428
2014-05-15,2014,5,15,Thursday,31.18,32.68,30.58,31.95,515600,31.95,0.02733120164127656,31.454285714285714,32.783448275862064
2014-05-16,2014,5,16,Friday,31.87,32.21,31.25,32.07,109600,32.07,0.003755835024078058,31.41357142857143,32.75966666666667
2014-05-19,2014,5,19,Monday,32.4,32.43,31.0,31.21,242900,31.21,-0.026816358544910046,31.300714285714285,32.70967741935484
2014-05-20,2014,5,20,Tuesday,31.41,31.8,29.99,30.0,299100,30.0,-0.038769596923014515,31.232857142857142,32.625
2014-05-21,2014,5,21,Wednesday,30.78,31.37,30.36,31.04,457700,31.04,0.034666697184244866,31.235000000000003,32.5769696969697
2014-05-22,2014,5,22,Thursday,30.97,31.15,30.28,30.91,270200,30.91,-0.004188178617295146,31.225,32.52794117647059
2014-05-23,2014,5,23,Friday,30.93,33.0,30.78,31.8,370800,31.8,0.028793251182204438,31.23714285714286,32.50714285714286
2014-05-27,2014,5,27,Tuesday,32.03,32.95,31.41,32.64,227400,32.64,0.026415099771729844,31.284285714285716,32.51083333333334
2014-05-28,2014,5,28,Wednesday,32.62,34.6,31.81,33.43,610200,33.43,0.024203459874386102,31.48,32.53567567567568
2014-05-29,2014,5,29,Thursday,33.33,34.42,32.9,33.69,332400,33.69,0.007777395128917952,31.645000000000003,32.566052631578955
2014-05-30,2014,5,30,Friday,33.77,35.65,33.63,34.08,435500,34.08,0.01157623093627902,31.849285714285713,32.6048717948718
2014-06-02,2014,6,2,Monday,34.14,34.56,33.84,34.39,130700,34.39,0.009096172005227832,32.09642857142857,32.6495
2014-06-03,2014,6,3,Tuesday,34.2,35.08,33.99,35.06,135800,35.06,0.019482465703219765,32.38357142857142,32.70829268292683
2014-06-04,2014,6,4,Wednesday,35.02,36.19,34.43,35.65,316200,35.65,0.01682829804557162,32.708571428571425,32.77833333333334
