Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,176.95,178.38,176.36,176.89,1982100.0,165.3,0.0,165.3,165.3
2014-01-03,2014,1,3,Friday,176.35,178.85,176.22,178.15,2147400.0,166.47,0.007123347661386337,165.885,165.885
2014-01-06,2014,1,6,Monday,179.15,181.13,178.88,179.37,2954000.0,167.61,0.0068480330969935554,166.46,166.46
2014-01-07,2014,1,7,Tuesday,180.73,180.98,177.52,178.29,2734700.0,166.6,-0.006021098789535162,166.495,166.495
2014-01-08,2014,1,8,Wednesday,178.5,178.9,177.26,178.44,2208600.0,166.74,0.0008415024463834797,166.544,166.544
2014-01-09,2014,1,9,Thursday,179.08,179.08,176.61,177.4,2149500.0,165.77,-0.005828187567179843,166.415,166.415
2014-01-10,2014,1,10,Friday,177.4,178.71,177.0,178.39,2506500.0,166.7,0.005580507848581551,166.4557142857143,166.4557142857143
2014-01-13,2014,1,13,Monday,178.3,178.3,175.69,175.88,2823800.0,164.35,-0.014070419559654379,166.1925,166.1925
2014-01-14,2014,1,14,Tuesday,176.26,177.5,175.71,176.6,2208800.0,165.02,0.004093686208781255,166.0622222222222,166.0622222222222
2014-01-15,2014,1,15,Wednesday,177.0,179.74,177.0,178.75,3540200.0,167.03,0.012174308626758723,166.159,166.159
2014-01-16,2014,1,16,Thursday,178.75,178.79,174.5,175.17,4712200.0,163.69,-0.020028070467763226,165.93454545454546,165.93454545454546
2014-01-17,2014,1,17,Friday,175.01,177.28,174.5,176.28,3451000.0,164.73,0.006337081148682033,165.83416666666668,165.83416666666668
2014-01-21,2014,1,21,Tuesday,175.1,175.59,171.34,173.2,5141200.0,161.85,-0.01747241321016446,165.52769230769232,165.52769230769232
2014-01-22,2014,1,22,Wednesday,173.45,174.64,172.78,173.68,2476900.0,162.3,0.002771227504635654,165.2971428571429,165.2971428571429
2014-01-23,2014,1,23,Thursday,172.42,172.42,169.02,170.75,3977700.0,159.56,-0.016869673755195214,164.88714285714286,164.91466666666668
2014-01-24,2014,1,24,Friday,168.53,169.96,167.22,167.64,4156200.0,156.65,-0.018214148551528475,164.1857142857143,164.39812500000002
2014-01-27,2014,1,27,Monday,167.08,167.6,163.43,164.69,5589600.0,153.9,-0.017596996947504495,163.2064285714286,163.78058823529415
2014-01-28,2014,1,28,Tuesday,165.03,166.55,164.59,166.25,3170400.0,155.35,0.009472225865996275,162.40285714285716,163.31222222222223
2014-01-29,2014,1,29,Wednesday,163.97,166.1,163.62,163.9,3473700.0,153.16,-0.014135324107664382,161.43285714285716,162.77789473684211
2014-01-30,2014,1,30,Thursday,165.33,166.17,164.57,165.84,2829400.0,154.97,0.01183673005811503,160.6614285714286,162.3875
2014-01-31,2014,1,31,Friday,163.8,165.98,163.3,164.12,3415500.0,153.36,-0.010371475341234948,159.70857142857147,161.95761904761906
2014-02-03,2014,2,3,Monday,165.15,165.52,159.77,159.82,5079700.0,149.34,-0.026200723903223144,158.63642857142864,161.38409090909093
2014-02-04,2014,2,4,Tuesday,160.9,162.57,159.85,161.76,3346600.0,151.16,0.012138704523025456,157.64642857142863,160.9395652173913
2014-02-05,2014,2,5,Wednesday,160.59,162.65,160.32,160.42,3212900.0,149.91,-0.008283852836489247,156.42357142857145,160.48
2014-02-06,2014,2,6,Thursday,161.16,162.0,160.1,161.75,3798000.0,151.15,0.008290651308127117,155.52785714285716,160.1068
2014-02-07,2014,2,7,Friday,162.78,162.9,160.27,161.93,4879900.0,151.32,0.0011130015030820228,154.57000000000002,159.76884615384614
2014-02-10,2014,2,10,Monday,161.02,161.77,160.28,161.0,4321700.0,150.45,-0.005742954894545238,153.7557142857143,159.4237037037037
2014-02-11,2014,2,11,Tuesday,161.21,164.96,160.31,164.39,4996300.0,153.62,0.021055666788137417,153.1357142857143,159.21642857142857
2014-02-12,2014,2,12,Wednesday,164.5,165.23,163.23,163.5,3046600.0,152.78,-0.005413951115509907,152.6514285714286,158.99448275862068
2014-02-13,2014,2,13,Thursday,162.55,164.4,162.1,164.06,3119600.0,153.31,0.0034249092663205527,152.41285714285715,158.80499999999998
2014-02-14,2014,2,14,Friday,163.33,164.5,162.93,163.72,3287900.0,152.99,-0.0020722370694944425,152.34785714285718,158.6174193548387
2014-02-18,2014,2,18,Tuesday,164.04,165.59,163.72,164.65,3399900.0,153.86,0.005680464355071191,152.2414285714286,158.46874999999997
2014-02-19,2014,2,19,Wednesday,163.91,166.18,162.98,163.26,3669700.0,152.56,-0.008442121868084795,152.19857142857148,158.28969696969696
2014-02-20,2014,2,20,Thursday,163.49,164.97,162.67,164.5,2631900.0,153.72,0.007595225623849622,152.10928571428576,158.15529411764706
2014-02-21,2014,2,21,Friday,164.3,165.65,164.15,164.5,2594500.0,153.72,0.0,152.13500000000002,158.02857142857144
2014-02-24,2014,2,24,Monday,164.08,167.41,164.08,166.54,3242900.0,155.62,0.012400957270360058,152.58357142857145,157.96166666666667
