Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,176.95,178.38,176.36,176.89,1982100.0,164.63,0.0,164.63,164.63
2014-01-03,2014,1,3,Friday,176.35,178.85,176.22,178.15,2147400.0,165.8,0.007123382082751428,165.215,165.215
2014-01-06,2014,1,6,Monday,179.15,181.13,178.88,179.37,2954000.0,166.94,0.006847986948046669,165.79,165.79
2014-01-07,2014,1,7,Tuesday,180.73,180.98,177.52,178.29,2734700.0,165.93,-0.006021101000281193,165.825,165.825
2014-01-08,2014,1,8,Wednesday,178.5,178.9,177.26,178.44,2208600.0,166.07,0.0008414983470732551,165.87399999999997,165.87399999999997
2014-01-09,2014,1,9,Thursday,179.08,179.08,176.61,177.4,2149500.0,165.11,-0.005828202849353814,165.74666666666664,165.74666666666664
2014-01-10,2014,1,10,Friday,177.4,178.71,177.0,178.39,2506500.0,166.03,0.005580586538276755,165.78714285714287,165.78714285714287
2014-01-13,2014,1,13,Monday,178.3,178.3,175.69,175.88,2823800.0,163.69,-0.014070442925268378,165.525,165.525
2014-01-14,2014,1,14,Tuesday,176.26,177.5,175.71,176.6,2208800.0,164.36,0.004093625307674431,165.39555555555555,165.39555555555555
2014-01-15,2014,1,15,Wednesday,177.0,179.74,177.0,178.75,3540200.0,166.36,0.01217436269735983,165.49200000000002,165.49200000000002
2014-01-16,2014,1,16,Thursday,178.75,178.79,174.5,175.17,4712200.0,163.03,-0.020028053583389882,165.26818181818183,165.26818181818183
2014-01-17,2014,1,17,Friday,175.01,177.28,174.5,176.28,3451000.0,164.06,0.006337027429004216,165.1675,165.1675
2014-01-21,2014,1,21,Tuesday,175.1,175.59,171.34,173.2,5141200.0,161.2,-0.01747238248617422,164.8623076923077,164.8623076923077
2014-01-22,2014,1,22,Wednesday,173.45,174.64,172.78,173.68,2476900.0,161.64,0.0027712489078670632,164.63214285714284,164.63214285714284
2014-01-23,2014,1,23,Thursday,172.42,172.42,169.02,170.75,3977700.0,158.92,-0.01686973838401895,164.2242857142857,164.25133333333332
2014-01-24,2014,1,24,Friday,168.53,169.96,167.22,167.64,4156200.0,156.02,-0.01821415516463798,163.52571428571426,163.736875
2014-01-27,2014,1,27,Monday,167.08,167.6,163.43,164.69,5589600.0,153.28,-0.017596961035244663,162.54999999999998,163.12176470588236
2014-01-28,2014,1,28,Tuesday,165.03,166.55,164.59,166.25,3170400.0,154.73,0.009472250784982261,161.75,162.65555555555557
2014-01-29,2014,1,29,Wednesday,163.97,166.1,163.62,163.9,3473700.0,152.54,-0.014135308479124031,160.7835714285714,162.12315789473686
2014-01-30,2014,1,30,Thursday,165.33,166.17,164.57,165.84,2829400.0,154.35,0.011836716116773616,160.01499999999996,161.7345
2014-01-31,2014,1,31,Friday,163.8,165.98,163.3,164.12,3415500.0,152.75,-0.010371541023695197,159.06642857142853,161.30666666666667
2014-02-03,2014,2,3,Monday,165.15,165.52,159.77,159.82,5079700.0,148.74,-0.026200643033495785,157.99857142857135,160.73545454545456
2014-02-04,2014,2,4,Tuesday,160.9,162.57,159.85,161.76,3346600.0,150.55,0.01213868936541096,157.0121428571428,160.2926086956522
